index,smiles,len_smiles,SA_score,NP_score,SCScore,Syba_score
0,C[C@]1([SH2]=O)CC[C@H]2N[C@H]2N1,32,6.108229354668078,0.9480575071993298,2.828619896972967,-23.872162478002146
1,CCC[C@H](C[C@H](O)[C@@H]1C=C[C@@H]2[C@@H]3C[C@@H](CC[C@H]4C[C@@H](C[C@H]5CN5)C4)[C@@H]4CC[C@@]5(C[C@H]45)OC[C@]4(C)[C@H]1[C@]24C3)[C@H]1NCCN1N,142,6.684125037330292,1.7702003656651673,4.666857112312274,-129.49591757556252
2,C=C[As](NC)ON[SbH][C@@H](C)C[C@@H](F)C=[SH2][C@](C)(Cl)O[C@@](C)(C=O)[C@H]1[C@@H]2C[Al]1N[C@@H](CCCO)C[C@@H]2C1(C)CC1,117,7.907436616357407,0.7576962639696614,4.205552282099161,-43.59858043962008
3,CC[C@@H]1[C@@H]2[C@@]13[C@@]14[Mg]C[C@]1(O)[C@@]234,51,7.5361263449546945,1.7732722000639276,2.902613752288528,-30.42137276834772
4,CCCOOC[C@H](CCC)NNC,19,3.757096667082031,0.3561590711892715,2.912900868023612,-7.684279649656151
5,CC[C@H]([C@H]1[C@@H]2C[C@@H]21)N1CC1,36,4.111289372679233,0.1186081323026199,2.811664529450097,-3.6489682611941854
6,C=C(CCCC[C@H]1C[C@@H]1O)[C@H](C)C(=O)CCCC,41,3.730072529369094,1.8284530143371,3.275512234103644,2.5498513146235533
7,CC[C@H](CO)[C@@H]1C[C@H]2[C@H](CN[C@H]3[N][C@]4([N]3)[C@H]3[C@]56C[C@H]5[C@@]346)[C@@H]12,89,7.101747454578579,1.8398661468268669,4.256006390425034,-53.41009943362083
8,CCCCCC[C@H](C=C[C@H](C)CCC)O[C@@H]1NCC[C@@H](N2CCC2)[C@H](N)N1,62,4.656376276134401,1.195037973078448,4.5381988866721485,-39.95730360569502
9,CC[C@H]1C[C@H]2C[C@H](O)C23[C@@H](C1)[C@]1([O])[C@@H]2C[SH]31O2,63,7.48552696151462,1.4506225919915297,3.246684724531747,-43.59727256883242
10,C=C[C@@H]1CCC[C@@]23C[C@@H]([C@@H]([C@H]4[C@@H]5[C@@H]6[C@H](CCC)[C@]546)[C@]45[C@H]6CC[C@]64[C@@H]5C2)[C@H]3C[C@@H]1C,118,7.766479937517516,2.159956363766969,3.9742404505458886,-82.1804119626652
11,C[C@@H]1C[C@H](C2=CC=CC=C2)[C@H](CC2CC2)[S@](O)(OO)O1,53,4.461170966230322,0.4290116889845879,3.080801227893471,-10.297606648311604
12,CC(C)C[C@@H](C[C@H]1CN1)C([NH])[NH],35,4.538313422781464,0.9041441181708084,2.767111703445134,-10.429111825184062
13,OCC1CN(CO)C1,12,2.7950621764687664,0.2073630686297125,1.7851391338460916,3.781976964138072
14,C[C@H]1[C@H]2[C@H](N)N2C[C@]1(C)O,33,5.120970506259966,1.45896588602747,3.062508260438089,-37.2439402041208
15,C1CCOC(N[C@@]23C[C@]24C[C@@H]43)=NC1,36,5.206457464791194,0.9607889272287692,3.361746307962276,-32.651501154793664
16,CC(C)=CN[C@]12[C@H]3C[C@@H]4C[C@@]31N42,39,7.314775871893788,1.2305901111691837,3.43411213165033,-40.22137187964032
17,C=CCC=CC=CCCCC[C@H](C=C[C@@]1(C)CN1)C[C@@H]1C[C@H]1[C@@H](F)CC,62,5.294138386201392,1.8191304690173535,3.962522542387152,-79.70110272185272
18,C[C@@]1([Se]OP(O)PO)C[C@@]1(O)C=O,33,6.528014959632453,0.8996722790429461,2.73122775465635,-49.67260278919881
19,C=C(CNC)CN(C)N1[C@H](C(=C)CC)CN1O,33,4.742495806606069,0.2041305063883058,3.62619717783934,-29.992484611819968
20,C[C@H](CCN1O[S@@]1(O)OO)[C@H](C=C(O)[C@@H]1[C@H]2C=CC=CC[C@@H]21)CCC=CC1CCCCCC1,79,5.5930681528930375,1.3800289642057275,3.900493380674473,-81.57737465177905
21,O[C@H]1CC[C@]2(C1)[N][C@H](O)[N]2,33,5.163408841847564,1.2517297838908,2.779625508653792,-9.01257535750775
22,C=C(CCC)[C@@H]1C[C@@H](CCC)[C@@H](C)C1,38,3.867714662753527,1.5037829755764147,3.310662391032597,-12.33986376641858
23,CCC[C@@H](NC=CCCCCC(=N)N(C)O)C(Cl)(Br)Br,40,4.3825097226242935,0.6167574800602201,3.2417045207471795,-19.560750086050195
24,CC(=O)N[C@@]12N[C@H]([N]C3CCC3)[N][C@@H]3ON1[C@@H]32,52,5.853212543910216,0.1304748471980706,3.5987622834084867,-28.771598350939964
25,OC[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2[C@@H](O)[C@@H]21,51,4.712025386042963,2.3171555544202502,2.375994120124566,-17.931610869441144
26,CC[C@@]1([C@@]23C[C@@]2(C)[C@H]3C)[C@@H]2[C@H](F)[C@@H]21,57,5.283830081648021,1.6374962871708616,3.0639326785640257,-49.22634222014199
27,CPC[C@]12C[C@@H](CC[AsH]Br)[C@@H]1[C@@H]2CF,43,6.811925209143831,0.9305024549897286,3.644175341797292,-66.62545043180847
28,O=CNCCCCCC1CC1,14,2.325800832575146,0.5168428937549818,2.652179440710293,1.7483284359034656
29,CCC[C@H](C)COCC1CC1,19,2.688063407216589,0.1397127583914027,3.0128428855458265,29.33751492115734
30,CC[C@@H](OC)[C@@H]1[C@@]23NC[C@]12[C@@]12[C@@H]3[C@@]13O[C@@]32O,64,6.926365994953083,2.199595756398137,3.299154157047884,-56.13287800341965
31,O[C@H]1O[C@H]1CCC=CCCC1CC1,26,3.549065333466819,1.9292387997541312,2.065188753472687,-12.95228975664467
32,CC(C)C[C@@H](O)CCC[C@@]12CO[C@@H]3[C@H]4C[C@H]([C@H]43)[C@@H]1N2,64,5.117568412692849,1.9001532557435103,3.61262468155709,-45.403597226413936
33,C#C[C@H]1[C@H]2[C@@H]3N[C@@H]3N(C[C@H](N)C[C@H](C)O)[C@@H](O)[C@H](C)[C@H](C)[C@@H](C[Al](C)O)C[C@@]21NCO,105,7.00052557118084,0.768163480119458,4.927249375243993,-71.14678319661193
34,CBCCN[C@]12N[C@H]1[C@H]2NNC[C@]1(C)CO1,38,6.225260789044358,0.5779591082061312,2.704546258204679,-33.336367550103816
35,CCCC[C@@H](Cl)[C@]1(Cl)[C@@H]2OC[C@@H]3C[C@@H](C[C@H](I)[C@@H]3C2=O)[C@@H]2[C@@]13N(Cl)[C@@]23Cl,96,7.9533217613027,0.9731585048561308,3.6264540639490384,-69.2926021013689
36,CCC[C@H]1CC[C@H](CF)[C@H]2[C@@H](O)[C@@H]12,43,4.502364558232333,1.2564086428360923,2.966336906264811,-30.849646211703583
37,CCP[C@@H]1[C@H]2C[C@]21C[C@]1(Br)[C@]2(OOCF)N(C[C@H]3[C@@H](N)[C@H]3NC)[C@@]12[C@@]1(C)[C@@H]2C[C@@H]21,103,6.9485203186752456,1.2153927798505413,4.897147361624264,-142.66086047086475
38,C[C@H](CO)C[C@@H](O)CCC1CC1,27,3.1910056064042926,1.9090510418142,2.8899160522430845,12.38290866815242
39,C=CCB[C@@H]1C[C@@H](C)[C@H](C[C@H](CSC2CC2)[C@H](C)S)S1,55,5.895007736482077,0.272067763925885,3.169879322645041,-21.24994175933904
40,O=C1NCCCCC[C@H](O)N1,20,3.7949697535701903,0.8116570352528639,2.5079458754391206,-46.786204340788586
41,CC=CCC[C@]1(C)CC[C@H]1[C@H](O)CI,32,4.621415472470125,2.671759620902729,2.7970143273630867,-26.960408092343997
42,CCC[C@@H]1C[C@@H]([C@H](O)C2CC2)C=CCC12CC2,42,4.831561064647731,2.0434119947722937,3.169700560204371,-24.132043984892267
43,C=C(C)NCCN1[C@H](Br)[C@H]1OO,28,4.873470780169631,0.4780814911034333,3.002581993492561,-36.47272492425299
44,CC[C@H](C)C[C@@H]1[C@](C)(C[C@@H]2CP2)C[C@H]2[C@H]([C@@H](C)CC[C@@H](O)CO)[C@@]12C#N,84,5.764810350232192,1.692307423968873,3.784000445730201,-66.16535844837153
45,C[C@]1(CF)C[C@H]1CCCCCCCC1CC1,29,3.476279443421711,0.9441728591915562,3.794885383240168,-5.904445634574474
46,OOCCCCN1C[C@]2(O)CC[C@H]1CC2,28,4.0787092389345405,0.7183617050958866,3.100877828190173,-20.256765638704486
47,CC[C@H](O)[C@@H]1C[C@]2(OI)C[C@@H]3C[C@@H]3C[S@@]12CC,53,5.863390545591884,0.6038750920098942,3.06889318647699,-18.337251439099877
48,CC[C@@H]1C[C@@H](NC(=N)N[C@H]2[C@@H]3[C@@H]4C[C@]32[C@@H]4[C@H](O)CC)[C@@H]2C[C@H]([C@@H]3CCCNC3)C[C@H]1C2,106,7.005086461074786,1.228744138083674,4.431391108283881,-77.66133373848203
49,C[C@H](CN1CC[C@H](C)[C@@H]2C[C@@H]21)N1[C@H](C=C[C@]23C[C@]45C[C@H]4C[C@H]2[C@H]35)[C@@H]1O,91,6.401152794905467,1.5951143298167478,4.238110350485995,-76.78959465081749
50,C1C[C@@H]2[C@@H](CS1)[C@H]2[C@@H]1[C@@H]2C[C@@H]21,50,4.654464930163123,0.8158357180707274,2.869837252430414,-37.102332546857696
51,C[C@@H]1[C@H]2[C@@H](C1(O)O)[C@]21CC=CCC1,41,5.3719205192395965,2.4085004836919994,2.61756115111012,-39.45070879884805
52,CCCCCCCC=CC[C@@H](C)CCC(=O)[C@@H]1[C@@H]2[C@@H]3C[C@]213,56,4.6927201306050215,1.853098277733609,3.258647954293679,-6.573897560753359
53,CC[C@@H](Cl)C[As]1O[C@H]2C[C@H]3C[C@@]3(C)C[C@H]3C[C@]34C1[C@H]24,65,6.711780219572081,1.5448271806891685,3.485420198679487,-45.062044265157226
54,CC[C@@H](C)C[C@@H]1O[C@@H]1[C@@H]1[C@H]2[C@@H]([C@H](CN)C[C@H]3[C@H]4C[C@@H]34)[C@@H]12,87,5.404613464744093,1.5989292855999604,3.619924062293893,-50.9012515621537
55,CCCC[C@@H]1[C@H](O)N1CC[C@H]1CC[C@H]2N[C@@H]12,46,4.847331714699176,1.3829072993522626,3.718776748265167,-49.627330924671
56,C[C@@H]1CC[C@H]2C[C@@H]3[C@@]4(CC=CCO[C@@H]4O)[C@]213,53,5.904653452003323,2.7190146345760007,3.183959996369071,-60.78855593018051
57,CCCC=C(CCCCCCC)[C@H](C)C[C@H]1CN1[C@H](C)NC,43,4.371847776809643,0.6164953914097137,3.506622485081315,-2.3628111255641127
58,CCC[C@H]1C[C@@H]2[C@H](C1)[C@H]2[C@@H](CO[C@]12O[C@@]1(CCC=CO)[C@H]2CCC1(C)CC1)NO,81,5.854341604384681,1.702167901835032,3.770843112118103,-72.72689847742443
59,CC(=O)N[C@H]1CN(CN2CO[C@H]3C[C@@H]3C2)N1,40,4.74864384795628,0.0173648007849562,3.1835634739439933,-34.87625500546077
60,C=[SH2]OC[C@H]1C[C@]2(CC2)[C@@H]2C[C@H]1C2,42,6.145390706074768,2.0375600766014617,3.2635156795510527,-21.75827097490649
61,CC(C)C[C@@]12C[C@@H]3O[C@]31N2,30,5.698385172840182,1.30525555190317,2.9443050077063524,-24.33687488606799
62,C[C@H](C=C[C@@H]1C[C@@]1(F)CO)[C@@H]1CC=CCC1,44,4.857119250582819,1.3874999713592815,3.216428373929294,-30.141926816589663
63,CCC[C@@H]1C[C@@H]2CC[C@@H]3CC[C@H](C[C@@H]12)[C@@H](O)O3,56,5.429390717053976,1.712515752836365,3.120335345909555,-52.30623644254531
64,CCC[C@@H]1[C@H]2C=CCC[C@H]21,28,4.050757736630942,2.0611048065987,2.433251300421185,-26.03929268194556
65,CCCCCC[C@H]1C[C@@H]1[C@H](O)[C@@H]1CNN1,39,4.328597080851592,1.64113436858608,3.277431981965964,-17.573250058150617
66,CCCCC[C@@H](C)CCCCC[C@@H](C[C@@H](C)CCNCN)C(N)=O,48,3.614532652122442,0.5756724105005542,3.4504663045403534,9.677631538966637
67,C[C@@H]1C[C@@H]1CCI,19,3.974999169982072,1.1768603022271142,2.4769460019521667,-0.1048541313841594
68,C[C@H](O)C[C@]1(C)CCCCOC1,25,3.621045116893804,0.7780617685453,2.5061506016089714,-4.472643836842956
69,CC[C@@H](COC)[C@H](C)N(O)CC[C@H](C)Cl,37,4.261771213305355,0.3005510195105021,3.130068103096513,2.992739792136976
70,O=C[C@H](CCCCO)[C@@H]1[C@@H]2C[C@@H]21,38,4.315811917061906,2.1838152345690918,2.6305688922056483,-24.71293930262322
71,O[C@]12C=CCC[C@H]1[C@@H]1[C@H](CC[C@@H]2F)C12CC2,48,5.444857892952736,1.7206138147024248,2.764114447204232,-61.03014232441697
72,CC(C)(O)O[C@@]1(O)C[C@@H]1Br,28,4.572983411671968,1.1678538863824202,1.891578033590937,-20.484192108737428
73,CC[C@H]1C[C@@H]1[C@]12CC[C@]3(C)[C@H]4C[C@@]43[C@H]1CC[C@@]21[C@@H]2C[C@]21C,76,6.206778958307418,2.416542491055581,3.385802917751679,-47.28744243319901
74,C[C@@H](O)C[C@]12[C@@H]3[C@@H](P(O)OO)[Sb](C)COO[C@]1(CC=O)[C@@H]32,67,6.738272671246925,1.925755880390276,3.386175574930828,-79.09178225114371
75,CCC=C[C@@H]1C[C@]12[C@@H]1[C@]23[C@H]2[C@H](CCCl)[C@]24N(C)[C@@]143,67,7.124852626565769,1.7044137015991834,3.578361756137943,-75.61225143193496
76,CCCCC(=O)N[C@@H](CN1[C@@H]2C[C@@H]21)[C@@H]1[C@@H]2N3[C@H](CNC=O)[C@@]123,73,5.8116879665676535,0.6310674593818774,3.979418535459787,-30.85425875578052
77,C=C1CCCC2C[C@]2(CCN(O)POCCO)CC1,31,5.09930893151708,1.6477949957873683,3.6436631087440254,-61.39006558293773
78,CC[C@H]1O[C@@H](NC(=N)NC2CC2)[Se]CCC[C@@H]1O,44,4.873819413984478,0.7898176947677835,3.5641136286984976,-6.435137963203961
79,C[C@@H]1N[C@H]2[C@H](CCC[C@]([O])(O)[N][C@@H]3CCN3)[C@@]12C,59,5.822925741992817,1.5313564393460168,3.983172343460674,-49.16271044099889
80,CCCC=CC[C@@H](CC[C@@H](C)O)[C@H]([C@@H]1C[C@@H]2CCSC[C@@H]21)N(N)[C@@](N)(O)I,77,5.383486525947449,1.3095328471641554,4.228431091145422,-53.775242060351616
81,CC[C@@H](CC[C@H](CNC[C@@H](C)C[C@@H](C)O)NC(C)=O)[C@H](C)[C@@H]1C[C@@H]1Cl,74,4.6240856237598935,0.9689003463753642,4.08379038153632,-9.006141144736418
82,CNC[C@@H]1[C@H]2[C@@H](C)CN[C@H](N[N][C@H]3C[N]3)N21,52,6.038681146137304,0.6243519522897,4.305498063309874,-58.72952693817466
83,C[C@]1(F)[C@@H]2CC[C@H]3C[C@@]4(C(F)(F)CF)[C@H](O[C@H]4[C@H](F)C[C@H]32)C12CC2,78,7.064226101083522,1.2554754346050083,4.008761106488327,-80.96839080787565
84,C[C@H](C(=O)CN)[C@@H](O)C1=NO[S@SP1H]1O,39,5.653237747051164,0.6754418654616537,2.985977236190237,-20.30280301561054
85,CC[C@H]1[C@@H]2[C@H](C[C@]34C[C@]3(O)O4)[C@@]21C,48,5.247975497720875,2.160480812495323,2.709598564678912,-39.54589055819862
86,CC[C@@H](N)CC=C[C@@H](CC)C[C@@H](C=C[C@H]1CO[C@H]1N[C@@H](N1C[C@H]2N[C@H]21)N1[C@H]2NC[C@@H]3C[C@H]4C[C@H]4[C@@H]3[C@@H]3N[C@]231)CC,132,7.213262972940557,1.3065744942120172,4.718547759858792,-140.16877399924516
87,C[C@@H](CC[C@@](Br)(I)CCBr)C[C@@H]([C@H]1C[C@]2(CCCCC[C@@H](N)CN(C)[C@@H]3CN3[C@@]34CN3CO4)[C@H]1[C@H]1O[C@@H]2[C@H]1S)[C@]1(F)[N][C@@H]1[S],140,7.7539834874448355,0.6568854412166024,4.719564410548411,-94.09508070400372
88,O=C(O)[C@@H]1CC[C@H](C[C@H]2[C@H]3[C@@H]4C=CCC[C@]342)CCN2C[C@H]12,66,5.367769737208247,1.6899918889882184,4.529777142893676,-55.05026401571051
89,C1[C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)[C@@]12[C@H]4C[C@]41N[C@@H]32,63,6.98688756748931,1.4980613250320003,3.391019745703062,-42.49990563947559
90,C[C@@H]1[C@H]2[C@@H]3C(=O)[C@@]23C[C@H]1C,41,5.250356220177353,2.22942078977234,2.58414690899785,-30.67067509400269
91,CCCCCCCC[C@H]1C[C@H]1CC(O)O,27,3.2828878231410323,1.401040074621613,2.6448064581781465,-1.306819124138154
92,C=C(C=CC)CCBC[C@H]1[C@@]2(CC)C=C(CCC=C(CCCCC)OC[C@@H]3OC[C@H]3CCC)[C@@]12CCCCC,78,5.628709145559431,1.5271526253414949,4.229624289716073,-72.76331068945784
93,CCCCCC[C@@H](CC)CC[C@]1(CO)NC1=O,32,3.493246847572797,1.1696591950785529,3.370903723967694,13.726255901150012
94,S[C@@H]1NN[C@H]([SbH2])[C@H]2C[C@@H]3[C@H](C2)[C@]13I,53,7.532610888339977,0.5378036943234616,3.219427888961881,-39.24600631163528
95,CC[C@H](C)C[C@H](I)[C@](C)(C=CCCCC(=O)O)CCC[C@H](CC)N[C@@H]1C[C@@H]1C,69,4.625546369297789,1.023436678971932,3.915316591998834,-4.090052138599545
96,OC[C@H]1O[C@H]1[C@]12[C@H]3[C@H]4C[C@H]4CC[C@@H]1[C@H]32,56,5.029100420525575,2.798316897440571,2.805038269449071,-41.66027356015786
97,C[C@@H]1[C@@H](Cl)[S@]2(OI)[C@H]1N(CO)NC[C@H]2[N][C@]1([NH])CN1[C@H]1N[C@@]1(C)N,80,7.008729438605402,0.6109438846953209,4.061029904207935,-75.48723811610341
